SampleID	groupID	genotype	batch	compartment	genotype2	ecotype	species	Description	PlantID	genotype	AerialW	RootW	NoduleW	UndergroundW
lyk3b2r4	lyk3b2r	lyk3	2	root	KO	A17	medicago	NodfactorreceptorA17background	159	LYK3	0.19	0.19	0	0.19
lyk3b2r5	lyk3b2r	lyk3	2	root	KO	A17	medicago	NodfactorreceptorA17background	160	LYK3	0.25	0.25	0	0.25
lyk3b2r6	lyk3b2r	lyk3	2	root	KO	A17	medicago	NodfactorreceptorA17background	161	LYK3	0.15	0.13	0	0.13
lyk3b2r7	lyk3b2r	lyk3	2	root	KO	A17	medicago	NodfactorreceptorA17background	162	LYK3	0.17	0.14	0	0.14
lyk3b2r8	lyk3b2r	lyk3	2	root	KO	A17	medicago	NodfactorreceptorA17background	163	LYK3	0.18	0.18	0	0.18
lyk3b2r9	lyk3b2r	lyk3	2	root	KO	A17	medicago	NodfactorreceptorA17background	164	LYK3	0.11	0.04	0	0.04
lyk9b2r1	lyk9b2r	lyk9	2	root	KO	R108	medicago	ChitinreceptorR108background	176	LYK9	1.54	0.36	0.064	0.424
lyk9b2r2	lyk9b2r	lyk9	2	root	KO	R108	medicago	ChitinreceptorR108background	177	LYK9	0.59	0.09	0.031	0.121
lyk9b2r3	lyk9b2r	lyk9	2	root	KO	R108	medicago	ChitinreceptorR108background	178	LYK9	0.86	0.27	0.049	0.319
lyk9b2r4	lyk9b2r	lyk9	2	root	KO	R108	medicago	ChitinreceptorR108background	179	LYK9	1.34	0.48	0.09	0.57
lyk9b2r5	lyk9b2r	lyk9	2	root	KO	R108	medicago	ChitinreceptorR108background	180	LYK9	0.56	0.28	0.036	0.316
lyk9b2r6	lyk9b2r	lyk9	2	root	KO	R108	medicago	ChitinreceptorR108background	181	LYK9	1.8	0.61	0.065	0.675
lyk9b2r7	lyk9b2r	lyk9	2	root	KO	R108	medicago	ChitinreceptorR108background	182	LYK9	1	0.26	0.066	0.326
lyk9b2r8	lyk9b2r	lyk9	2	root	KO	R108	medicago	ChitinreceptorR108background	183	LYK9	0.08	0.03	0.012	0.042
lyk9b2r9	lyk9b2r	lyk9	2	root	KO	R108	medicago	ChitinreceptorR108background	184	LYK9	0.86	0.19	0.031	0.221
lyk9nfpb2r1	lyk9nfpb2r	lyk9nfp	2	root	KO	R108	medicago	doublemutantR108background	185	LYK9NFP	0.09	0.03	0	0.03
lyk9nfpb2r2	lyk9nfpb2r	lyk9nfp	2	root	KO	R108	medicago	doublemutantR108background	186	LYK9NFP	0.2	0.12	0	0.12
lyk9nfpb2r3	lyk9nfpb2r	lyk9nfp	2	root	KO	R108	medicago	doublemutantR108background	187	LYK9NFP	0.13	0.02	0	0.02
lyk9nfpb2r4	lyk9nfpb2r	lyk9nfp	2	root	KO	R108	medicago	doublemutantR108background	188	LYK9NFP	0.23	0.11	0	0.11
lyk9nfpb2r5	lyk9nfpb2r	lyk9nfp	2	root	KO	R108	medicago	doublemutantR108background	189	LYK9NFP	0.17	0.13	0	0.13
lyk9nfpb2r6	lyk9nfpb2r	lyk9nfp	2	root	KO	R108	medicago	doublemutantR108background	190	LYK9NFP	0.17	0.06	0	0.06
lyr4b2r1	lyr4b2r	lyr4	2	root	KO	R108	medicago	ChitinreceptorR108background	165	LYR4	0.37	0.18	0.028	0.208
lyr4b2r10	lyr4b2r	lyr4	2	root	KO	R108	medicago	ChitinreceptorR108background	166	LYR4	0.13	0.07	0	0.07
lyr4b2r11	lyr4b2r	lyr4	2	root	KO	R108	medicago	ChitinreceptorR108background	167	LYR4	1.02	0.53	0.044	0.574
lyr4b2r2	lyr4b2r	lyr4	2	root	KO	R108	medicago	ChitinreceptorR108background	168	LYR4	0.31	0.16	0.025	0.185
lyr4b2r3	lyr4b2r	lyr4	2	root	KO	R108	medicago	ChitinreceptorR108background	169	LYR4	0.2	0.16	0	0.16
lyr4b2r4	lyr4b2r	lyr4	2	root	KO	R108	medicago	ChitinreceptorR108background	170	LYR4	0.23	0.13	0.013	0.143
lyr4b2r5	lyr4b2r	lyr4	2	root	KO	R108	medicago	ChitinreceptorR108background	171	LYR4	0.44	0.26	0	0.26
lyr4b2r6	lyr4b2r	lyr4	2	root	KO	R108	medicago	ChitinreceptorR108background	172	LYR4	0.63	0.23	0.037	0.267
lyr4b2r7	lyr4b2r	lyr4	2	root	KO	R108	medicago	ChitinreceptorR108background	173	LYR4	0.49	0.24	0.022	0.262
lyr4b2r8	lyr4b2r	lyr4	2	root	KO	R108	medicago	ChitinreceptorR108background	174	LYR4	0.21	0.11	0.016	0.126
lyr4b2r9	lyr4b2r	lyr4	2	root	KO	R108	medicago	ChitinreceptorR108background	175	LYR4	0.55	0.14	0.055	0.195
R108b2r1	R108b2r	R108	2	root	WT	R108	medicago	wildtype	110	R108	0.84	0.46	0.017	0.477
R108b2r2	R108b2r	R108	2	root	WT	R108	medicago	wildtype	111	R108	0.81	0.27	0.05	0.32
R108b2r3	R108b2r	R108	2	root	WT	R108	medicago	wildtype	112	R108	0.35	0.13	0.016	0.146
R108b2r4	R108b2r	R108	2	root	WT	R108	medicago	wildtype	113	R108	0.76	0.26	0.042	0.302
R108b2r5	R108b2r	R108	2	root	WT	R108	medicago	wildtype	114	R108	0.27	0.12	0.009	0.129
R108b2r6	R108b2r	R108	2	root	WT	R108	medicago	wildtype	115	R108	0.68	0.31	0.035	0.345
R108b2r7	R108b2r	R108	2	root	WT	R108	medicago	wildtype	116	R108	0.79	0.26	0.041	0.301
R108b2r8	R108b2r	R108	2	root	WT	R108	medicago	wildtype	117	R108	0.5	0.15	0.009	0.159
#R108b2r9	R108b2r	R108	2	root	WT	R108	medicago	wildtype	118	R108	0.62	0.25	0.018	0.268
Rnfpb2r1	Rnfpb2r	Rnfp	2	root	KO	R108	medicago	NodfactorreceptorR108background	119	NFP	0.15	0.03	0	0.03
#Rnfpb2r2	Rnfpb2r	Rnfp	2	root	KO	R108	medicago	NodfactorreceptorR108background	120	NFP	0.1	0.03	0	0.03
Rnfpb2r3	Rnfpb2r	Rnfp	2	root	KO	R108	medicago	NodfactorreceptorR108background	121	NFP	0.13	0.06	0	0.06
Rnfpb2r4	Rnfpb2r	Rnfp	2	root	KO	R108	medicago	NodfactorreceptorR108background	122	NFP	0.12	0.05	0	0.05
Rnfpb2r5	Rnfpb2r	Rnfp	2	root	KO	R108	medicago	NodfactorreceptorR108background	123	NFP	0.12	0.02	0	0.02
Rnfpb2r6	Rnfpb2r	Rnfp	2	root	KO	R108	medicago	NodfactorreceptorR108background	124	NFP	0.13	0.06	0	0.06
Rnfpb2r7	Rnfpb2r	Rnfp	2	root	KO	R108	medicago	NodfactorreceptorR108background	125	NFP	0.12	0.05	0	0.05
#Rnfpb2r8	Rnfpb2r	Rnfp	2	root	KO	R108	medicago	NodfactorreceptorR108background	126	NFP	0.12	0.04	0	0.04
#Rnfpb2r9	Rnfpb2r	Rnfp	2	root	KO	R108	medicago	NodfactorreceptorR108background	127	NFP	0.25	0.09	0	0.09
#A17b3r1	A17b3r	A17	3	root	WT	A17	medicago	wildtype	201	A17	0.82	0.3	0.054	0.354
A17b3r2	A17b3r	A17	3	root	WT	A17	medicago	wildtype	202	A17	1.59	0.73	0.073	0.803
A17b3r3	A17b3r	A17	3	root	WT	A17	medicago	wildtype	203	A17	1.27	0.93	0.064	0.994
A17b3r4	A17b3r	A17	3	root	WT	A17	medicago	wildtype	204	A17	0.71	0.31	0.026	0.336
A17b3r5	A17b3r	A17	3	root	WT	A17	medicago	wildtype	205	A17	1.02	0.35	0.023	0.373
A17b3r6	A17b3r	A17	3	root	WT	A17	medicago	wildtype	206	A17	1.07	0.38	0.025	0.405
A17b3r7	A17b3r	A17	3	root	WT	A17	medicago	wildtype	207	A17	0.94	0.31	0.033	0.343
Anfpb3r1	Anfpb3r	Anfp	3	root	KO	A17	medicago	NodfactorreceptorA17background	228	NFP-1(A17)	0.11	0.14	0	0.14
Anfpb3r2	Anfpb3r	Anfp	3	root	KO	A17	medicago	NodfactorreceptorA17background	229	NFP-1(A17)	0.21	0.23	0	0.23
Anfpb3r3	Anfpb3r	Anfp	3	root	KO	A17	medicago	NodfactorreceptorA17background	230	NFP-1(A17)	0.23	0.44	0	0.44
Anfpb3r4	Anfpb3r	Anfp	3	root	KO	A17	medicago	NodfactorreceptorA17background	231	NFP-1(A17)	0.11	0.19	0	0.19
Anfpb3r5	Anfpb3r	Anfp	3	root	KO	A17	medicago	NodfactorreceptorA17background	232	NFP-1(A17)	0.15	0.13	0	0.13
Anfpb3r6	Anfpb3r	Anfp	3	root	KO	A17	medicago	NodfactorreceptorA17background	233	NFP-1(A17)	0.17	0.26	0	0.26
Anfpb3r7	Anfpb3r	Anfp	3	root	KO	A17	medicago	NodfactorreceptorA17background	234	NFP-1(A17)	0.18	0.15	0	0.15
#Anfpb3r8	Anfpb3r	Anfp	3	root	KO	A17	medicago	NodfactorreceptorA17background	235	NFP-1(A17)	0.4	0.16	0	0.16
#Anfpb3r9	Anfpb3r	Anfp	3	root	KO	A17	medicago	NodfactorreceptorA17background	236	NFP-1(A17)	0.25	0.19	0	0.19
dmi2b3r1	dmi2b3r	dmi2	3	root	KO	A17	medicago	LRRreceptorlikekinaseA17background	237	dmi2	1.36	0.88	0.076	0.956
dmi2b3r2	dmi2b3r	dmi2	3	root	KO	A17	medicago	LRRreceptorlikekinaseA17background	238	dmi2	0.21	0.34	0	0.34
dmi2b3r3	dmi2b3r	dmi2	3	root	KO	A17	medicago	LRRreceptorlikekinaseA17background	239	dmi2	0.27	0.39	0	0.39
dmi2b3r4	dmi2b3r	dmi2	3	root	KO	A17	medicago	LRRreceptorlikekinaseA17background	240	dmi2	0.15	0.28	0	0.28
dmi2b3r5	dmi2b3r	dmi2	3	root	KO	A17	medicago	LRRreceptorlikekinaseA17background	241	dmi2	0.12	0.13	0	0.13
dmi2b3r6	dmi2b3r	dmi2	3	root	KO	A17	medicago	LRRreceptorlikekinaseA17background	242	dmi2	0.21	0.31	0	0.31
dmi2b3r7	dmi2b3r	dmi2	3	root	KO	A17	medicago	LRRreceptorlikekinaseA17background	243	dmi2	0.31	0.45	0	0.45
dmi2b3r8	dmi2b3r	dmi2	3	root	KO	A17	medicago	LRRreceptorlikekinaseA17background	244	dmi2	0.06	0.11	0	0.11
dmi2b3r9	dmi2b3r	dmi2	3	root	KO	A17	medicago	LRRreceptorlikekinaseA17background	245	dmi2	0.12	0.1	0	0.1
dmi3b3r1	dmi3b3r	dmi3	3	root	KO	A17	medicago	calciumdependentkinaseA17background	247	dmi3	0.19	0.21	0	0.21
dmi3b3r2	dmi3b3r	dmi3	3	root	KO	A17	medicago	calciumdependentkinaseA17background	248	dmi3	0.17	0.23	0	0.23
dmi3b3r3	dmi3b3r	dmi3	3	root	KO	A17	medicago	calciumdependentkinaseA17background	249	dmi3	0.17	0.26	0	0.26
dmi3b3r4	dmi3b3r	dmi3	3	root	KO	A17	medicago	calciumdependentkinaseA17background	250	dmi3	0.21	0.34	0	0.34
dmi3b3r5	dmi3b3r	dmi3	3	root	KO	A17	medicago	calciumdependentkinaseA17background	251	dmi3	0.22	0.23	0	0.23
dmi3b3r6	dmi3b3r	dmi3	3	root	KO	A17	medicago	calciumdependentkinaseA17background	252	dmi3	0.25	0.25	0	0.25
dmi3b3r7	dmi3b3r	dmi3	3	root	KO	A17	medicago	calciumdependentkinaseA17background	253	dmi3	0.15	0.29	0	0.29
dmi3b3r8	dmi3b3r	dmi3	3	root	KO	A17	medicago	calciumdependentkinaseA17background	254	dmi3	0.23	0.51	0	0.51
dmi3b3r9	dmi3b3r	dmi3	3	root	KO	A17	medicago	calciumdependentkinaseA17background	255	dmi3	0.27	0.34	0	0.34
lyk3b3r1	lyk3b3r	lyk3	3	root	KO	A17	medicago	NodfactorreceptorA17background	256	LYK3	0.21	0.28	0	0.28
lyk3b3r2	lyk3b3r	lyk3	3	root	KO	A17	medicago	NodfactorreceptorA17background	257	LYK3	0.22	0.3	0	0.3
lyk3b3r3	lyk3b3r	lyk3	3	root	KO	A17	medicago	NodfactorreceptorA17background	258	LYK3	0.2	0.27	0	0.27
lyk3b3r4	lyk3b3r	lyk3	3	root	KO	A17	medicago	NodfactorreceptorA17background	259	LYK3	0.15	0.24	0	0.24
lyk3b3r5	lyk3b3r	lyk3	3	root	KO	A17	medicago	NodfactorreceptorA17background	260	LYK3	0.29	0.41	0	0.41
lyk3b3r6	lyk3b3r	lyk3	3	root	KO	A17	medicago	NodfactorreceptorA17background	261	LYK3	0.25	0.29	0	0.29
lyk3b3r7	lyk3b3r	lyk3	3	root	KO	A17	medicago	NodfactorreceptorA17background	262	LYK3	0.31	0.31	0	0.31
lyk3b3r8	lyk3b3r	lyk3	3	root	KO	A17	medicago	NodfactorreceptorA17background	263	LYK3	0.26	0.29	0	0.29
lyk3b3r9	lyk3b3r	lyk3	3	root	KO	A17	medicago	NodfactorreceptorA17background	264	LYK3	0.14	0.09	0	0.09
lyk9b3r1	lyk9b3r	lyk9	3	root	KO	R108	medicago	ChitinreceptorR108background	275	LYK9	0.64	0.38	0.048	0.428
lyk9b3r2	lyk9b3r	lyk9	3	root	KO	R108	medicago	ChitinreceptorR108background	276	LYK9	0.62	0.31	0.007	0.317
lyk9b3r3	lyk9b3r	lyk9	3	root	KO	R108	medicago	ChitinreceptorR108background	277	LYK9	1.56	0.72	0.065	0.785
lyk9b3r4	lyk9b3r	lyk9	3	root	KO	R108	medicago	ChitinreceptorR108background	278	LYK9	1.17	0.59	0.061	0.651
lyk9b3r5	lyk9b3r	lyk9	3	root	KO	R108	medicago	ChitinreceptorR108background	279	LYK9	0.71	0.26	0.013	0.273
lyk9b3r6	lyk9b3r	lyk9	3	root	KO	R108	medicago	ChitinreceptorR108background	280	LYK9	0.89	0.44	0.03	0.47
lyk9b3r7	lyk9b3r	lyk9	3	root	KO	R108	medicago	ChitinreceptorR108background	281	LYK9	2.02	0.9	0.021	0.921
lyk9b3r8	lyk9b3r	lyk9	3	root	KO	R108	medicago	ChitinreceptorR108background	282	LYK9	0.48	0.2	0.008	0.208
lyk9b3r9	lyk9b3r	lyk9	3	root	KO	R108	medicago	ChitinreceptorR108background	283	LYK9	0.71	0.39	0.027	0.417
lyk9b3r10	lyk9b3r	lyk9	3	root	KO	R108	medicago	ChitinreceptorR108background	284	LYK9	0.72	0.29	0.006	0.296
lyk9nfpb3r1	lyk9nfpb3r	lyk9nfp	3	root	KO	R108	medicago	doublemutantR108background	285	LYK9NFP	0.22	0.12	0	0.12
lyk9nfpb3r2	lyk9nfpb3r	lyk9nfp	3	root	KO	R108	medicago	doublemutantR108background	286	LYK9NFP	0.19	0.09	0	0.09
lyk9nfpb3r3	lyk9nfpb3r	lyk9nfp	3	root	KO	R108	medicago	doublemutantR108background	287	LYK9NFP	0.11	0.07	0	0.07
lyk9nfpb3r4	lyk9nfpb3r	lyk9nfp	3	root	KO	R108	medicago	doublemutantR108background	288	LYK9NFP	0.16	0.1	0	0.1
lyk9nfpb3r5	lyk9nfpb3r	lyk9nfp	3	root	KO	R108	medicago	doublemutantR108background	289	LYK9NFP	0.13	0.06	0	0.06
lyk9nfpb3r6	lyk9nfpb3r	lyk9nfp	3	root	KO	R108	medicago	doublemutantR108background	290	LYK9NFP	0.08	0.03	0	0.03
lyk9nfpb3r7	lyk9nfpb3r	lyk9nfp	3	root	KO	R108	medicago	doublemutantR108background	291	LYK9NFP	0.26	0.12	0	0.12
lyk9nfpb3r8	lyk9nfpb3r	lyk9nfp	3	root	KO	R108	medicago	doublemutantR108background	292	LYK9NFP	0.13	0.07	0	0.07
lyk9nfpb3r9	lyk9nfpb3r	lyk9nfp	3	root	KO	R108	medicago	doublemutantR108background	293	LYK9NFP	0.12	0.09	0	0.09
lyr4b3r1	lyr4b3r	lyr4	3	root	KO	R108	medicago	ChitinreceptorR108background	265	LYR4	0.55	0.24	0.038	0.278
lyr4b3r2	lyr4b3r	lyr4	3	root	KO	R108	medicago	ChitinreceptorR108background	266	LYR4	0.94	0.28	0.044	0.324
lyr4b3r3	lyr4b3r	lyr4	3	root	KO	R108	medicago	ChitinreceptorR108background	267	LYR4	1.29	0.62	0.053	0.673
lyr4b3r4	lyr4b3r	lyr4	3	root	KO	R108	medicago	ChitinreceptorR108background	268	LYR4	0.27	0.14	0.001	0.141
lyr4b3r5	lyr4b3r	lyr4	3	root	KO	R108	medicago	ChitinreceptorR108background	269	LYR4	0.23	0.15	0	0.15
lyr4b3r6	lyr4b3r	lyr4	3	root	KO	R108	medicago	ChitinreceptorR108background	270	LYR4	0.35	0.14	0.028	0.168
lyr4b3r7	lyr4b3r	lyr4	3	root	KO	R108	medicago	ChitinreceptorR108background	271	LYR4	0.21	0.17	0.018	0.188
lyr4b3r8	lyr4b3r	lyr4	3	root	KO	R108	medicago	ChitinreceptorR108background	272	LYR4	0.21	0.14	0	0.14
lyr4b3r9	lyr4b3r	lyr4	3	root	KO	R108	medicago	ChitinreceptorR108background	273	LYR4	0.19	0.16	0	0.16
lyr4b3r10	lyr4b3r	lyr4	3	root	KO	R108	medicago	ChitinreceptorR108background	274	LYR4	0.17	0.11	0.002	0.112
#R108b3r1	R108b3r	R108	3	root	WT	R108	medicago	wildtype	210	R108	3.1	1.21	0.075	1.285
R108b3r2	R108b3r	R108	3	root	WT	R108	medicago	wildtype	211	R108	1.29	0.42	0.066	0.486
R108b3r3	R108b3r	R108	3	root	WT	R108	medicago	wildtype	212	R108	0.7	0.31	0.015	0.325
R108b3r4	R108b3r	R108	3	root	WT	R108	medicago	wildtype	213	R108	0.6	0.24	0.02	0.26
R108b3r5	R108b3r	R108	3	root	WT	R108	medicago	wildtype	214	R108	0.94	0.31	0.04	0.35
R108b3r6	R108b3r	R108	3	root	WT	R108	medicago	wildtype	215	R108	0.74	0.27	0.022	0.292
R108b3r7	R108b3r	R108	3	root	WT	R108	medicago	wildtype	216	R108	0.69	0.25	0.016	0.266
R108b3r8	R108b3r	R108	3	root	WT	R108	medicago	wildtype	217	R108	0.64	0.42	0.009	0.429
R108b3r9	R108b3r	R108	3	root	WT	R108	medicago	wildtype	218	R108	0.62	0.21	0.02	0.23
Rnfpb3r1	Rnfpb3r	Rnfp	3	root	KO	R108	medicago	NodfactorreceptorR108background	219	NFP	0.18	0.08	0	0.08
Rnfpb3r2	Rnfpb3r	Rnfp	3	root	KO	R108	medicago	NodfactorreceptorR108background	220	NFP	0.15	0.07	0	0.07
Rnfpb3r3	Rnfpb3r	Rnfp	3	root	KO	R108	medicago	NodfactorreceptorR108background	221	NFP	0.28	0.08	0	0.08
Rnfpb3r4	Rnfpb3r	Rnfp	3	root	KO	R108	medicago	NodfactorreceptorR108background	222	NFP	0.35	0.15	0	0.15
Rnfpb3r5	Rnfpb3r	Rnfp	3	root	KO	R108	medicago	NodfactorreceptorR108background	223	NFP	0.29	0.12	0	0.12
Rnfpb3r6	Rnfpb3r	Rnfp	3	root	KO	R108	medicago	NodfactorreceptorR108background	224	NFP	0.17	0.07	0	0.07
Rnfpb3r7	Rnfpb3r	Rnfp	3	root	KO	R108	medicago	NodfactorreceptorR108background	225	NFP	0.3	0.13	0	0.13
Rnfpb3r8	Rnfpb3r	Rnfp	3	root	KO	R108	medicago	NodfactorreceptorR108background	226	NFP	0.1	0.03	0	0.03
Rnfpb3r9	Rnfpb3r	Rnfp	3	root	KO	R108	medicago	NodfactorreceptorR108background	227	NFP	0.11	0.08	0	0.08
